#Rank	Path	LengthInKmers	Flows
3	284000003	582	2
2	431000002	428	2
3	285000003	580	2
0	321000000	527	3
1	307000001	1275	3
3	286000003	577	2
1	308000001	517	2
0	322000000	573	3
1	309000001	516	2
3	287000003	575	2
0	323000000	523	2
1	310000001	535	2
3	289000003	573	2
0	324000000	521	2
1	311000001	511	2
3	290000003	573	2
2	432000002	1011	3
0	325000000	520	2
1	312000001	510	2
2	433000002	427	2
3	291000003	572	2
0	326000000	519	2
1	313000001	510	2
2	434000002	423	2
3	292000003	569	2
2	435000002	421	2
0	327000000	518	2
1	314000001	530	3
2	436000002	421	2
0	328000000	516	2
1	315000001	509	2
2	437000002	421	2
0	329000000	516	2
1	316000001	509	2
0	330000000	515	2
2	438000002	422	3
1	317000001	509	2
3	294000003	991	3
0	331000000	515	2
2	439000002	421	2
1	318000001	506	2
3	295000003	564	2
2	440000002	420	2
0	332000000	514	2
1	320000001	505	2
2	441000002	420	2
3	296000003	563	2
0	333000000	514	2
1	321000001	504	2
3	297000003	561	2
2	442000002	422	3
2	443000002	429	2
3	298000003	558	3
1	322000001	576	3
3	299000003	557	2
1	323000001	504	3
3	300000003	555	2
2	444000002	506	3
1	324000001	502	2
